Q19890746	ciberactivista	ciberactivista
Q2309784	ciclista	ciclista
Q901	científico	científica
Q18511915	cinólogo	cinóloga
Q774306	cirujano	cirujana
Q15839136	citólogo	citóloga
Q118865	clarinetista	clarinetista
Q5371902	clavecinista	clavecinista
Q1113838	climatólogo	climatóloga
Q15735983	coautor	coautora
Q4841994	cobrador	cobradora
Q156839	cocinero	cocinera
Q2276446	cocinero	cocinera
Q3243461	coleccionista	coleccionista
Q28815523	coleopterista	coleopterista
Q22343478	collagista	collagista
Q1111648	colorista	colorista
Q1086863	columnista	columnista
Q245068	comediante	comedianta
Q11914886	comediógrafo	comediógrafa
Q1642960	comentarista	comentarista
Q36834	compositor	compositora
Q1308239	comprador	compradora
Q5780518	comunicador	comunicadora
Q2664461	concierge	concierge
Q3519259	conde	condesa
Q228422	conductor	conductora
Q352388	conductor	conductora
Q736415	conferencista	conferencista
Q9379869	conferencista	conferencista
Q2992505	confitero	confitera
Q43095928	conquiliólogo	conquilióloga
Q126236	conquistador	conquistadora
Q5164608	consejero	consejera
Q16060693	conservacionista	conservacionista
Q446966	conservador-restaurador	conservadora-restauradora
Q5784340	consorte	consorte
Q1340643	constructor	constructora
Q15978655	consultor	consultora
Q326653	contador	contadora
Q17176618	contrabandista	contrabandista
Q28361801	contrarrevolucionario	contrarrevolucionaria
Q15982656	contratista	contratista
Q123030	copiloto	copiloto
Q3997704	copista	copista
Q15974789	coptólogo	coptóloga
Q19829994	coreanólogo	coreanóloga
Q2490358	coreógrafo	coreógrafa
Q539371	corrector	correctora
Q14616728	corredor	corredora
Q1155838	corresponsal	corresponsal
Q1433105	corsetero	corsetera
Q376924	cortesana	cortesana
Q16323932	cosmetólogo	cosmetóloga
Q2998308	cosmólogo	cosmóloga
Q28966333	costurero	costurera
Q178521	cowboy	cowgirl
Q32554	cracker	cracker
Q2500638	creador	creadora
Q1368409	criador	criadora
Q2159907	criminal	criminal
Q1726903	criminalista	criminalista
Q8142883	criminólogo	criminóloga
Q1647775	criptoanalista	criptoanalista
Q15442776	criptógrafo	criptógrafa
Q16390131	criptólogo	criptóloga
Q25858128	criptozoólogo	criptozoóloga
Q664283	cristalero	cristalera
Q15142825	cristalógrafo	cristalógrafa
Q6430706	crítico	crítica
Q3330547	cronista	cronista
Q1141016	crooner	crooner
Q219184	crupier	crupier
Q16023925	cuentacuentos	cuentacuentos
Q15949613	cuentista	cuentista
Q15982795	culturista	culturista
Q30067601	culturólogo	culturóloga
Q32945212	cupletista	cupletista
Q17516936	curler	curler
Q3020602	dealer	dealer
Q21141381	decatleta	decatleta
Q2133309	decorador	decoradora
Q22811707	decorador	decoradora
Q41515083	defraudador	defraudadora
